,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
56,Sun May 08 18:54:24 +0000 2022,1523375782143270912,Mazi Uche,@Sujodamystique It just kept getting worse.. That ship in the desert thing was predictable and long for no reason,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
57,Sun May 08 18:52:06 +0000 2022,1523375206135336960,Mazi Uche,@Sujodamystique Took the words out of my mouth,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
58,Sun May 08 08:56:48 +0000 2022,1523225393318088706,Mazi Uche,@mikezuruki @ireteeh Send the link from this website let me see if I can find it,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
59,Sun May 08 08:52:39 +0000 2022,1523224349418868738,Mazi Uche,"Bitmama influencers, rate na 605 ooo",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
60,Sat May 07 20:31:16 +0000 2022,1523037771706687488,Mazi Uche,"@adapekem I don enter Lagos, make i go take loan 🙈",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
61,Sat May 07 20:29:18 +0000 2022,1523037276724678657,Mazi Uche,@hackSultan https://t.co/IAZigdMyIw,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
62,Fri May 06 16:10:31 +0000 2022,1522609764458446848,Mazi Uche,@adapekem No be you present today? Your standard is high 🙌🏿👌🏿,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
63,Fri May 06 15:12:01 +0000 2022,1522595043508379648,Mazi Uche,@Le_Parka https://t.co/XYvFrj78j0,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
64,Fri May 06 14:53:56 +0000 2022,1522590493326163968,Mazi Uche,@Le_Parka Oh God. I remember them trying to gate keep afro beats for us,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
65,Fri May 06 14:52:55 +0000 2022,1522590235149979648,Mazi Uche,"@Le_Parka If them no dey talk about sex, they are talking about something someone stole",Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
66,Fri May 06 13:24:24 +0000 2022,1522567959432118274,Mazi Uche,@_PLICE Episode 6 put some stuff together.,Data Scientist | Lil Wayne | Real Madrid,,463,1064,1284,http://pbs.twimg.com/profile_images/1408673250599657475/eGNfPEEy_normal.jpg
